playerID,yearID,stint,teamID,lgID,G_bat,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_old,run_production,run_prevention,pos_factor,POS,G_field,run_production_scaled,run_prevention_scaled,total_run_value
abreubr01,2022,1,HOU,AL,55,,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.4000000000000004,1.0,P,55,-1.2431395030686965,-0.9707928723529075,-1.1342008507823809
abreubr01,2023,1,HOU,AL,72,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4.9,1.0,P,72,-1.2431395030686965,-0.9617260152352443,-1.1305741079353155
abreujo02,2014,1,CHA,AL,145,,556,80,176,35,2,36,107.0,3.0,1.0,51,131.0,15.0,11.0,0.0,4.0,14.0,,301.79999999999995,531.5400000000001,0.9,1B,109,1.7481202939153175,2.221587073062204,1.937507005574072
abreujo02,2015,1,CHA,AL,154,,613,88,178,34,3,30,101.0,0.0,0.0,39,140.0,11.0,15.0,0.0,1.0,16.0,,302.9,512.1,0.9,1B,115,1.7590228312800706,2.104080604817288,1.8970459406949574
abreujo02,2016,1,CHA,AL,159,,624,67,183,32,1,25,100.0,0.0,2.0,47,125.0,7.0,15.0,0.0,9.0,21.0,,283.50000000000006,674.9100000000001,0.9,1B,152,1.5667417177562482,3.0881972763684566,2.175323941201132
abreujo02,2017,1,CHA,AL,156,,621,95,189,43,6,33,102.0,3.0,0.0,35,119.0,6.0,15.0,0.0,4.0,21.0,,319.99999999999994,625.23,0.9,1B,139,1.928507730313956,2.7879029686314496,2.272265825640954
abreujo02,2018,1,CHA,AL,128,,499,68,132,36,1,22,78.0,2.0,0.0,37,109.0,7.0,11.0,0.0,6.0,14.0,,236.10000000000002,483.75,0.9,1B,114,1.0969414713114423,1.9327170052934524,1.4312516849042463
abreujo02,2019,1,CHA,AL,159,,634,85,180,38,1,33,123.0,2.0,2.0,36,152.0,4.0,13.0,0.0,10.0,24.0,,320.7,567.0,0.9,1B,125,1.935445708636981,2.4359275753237624,2.1356384553116934
abreujo02,2020,1,CHA,AL,60,,240,43,76,15,0,19,60.0,0.0,0.0,18,59.0,1.0,3.0,0.0,1.0,10.0,,149.9,226.8,0.9,1B,54,0.24257899781899,0.37956438103773854,0.29737315110648943
abreujo02,2021,1,CHA,AL,152,,566,86,148,30,2,30,117.0,1.0,0.0,61,143.0,3.0,22.0,0.0,10.0,28.0,,309.20000000000005,516.06,1.0,1B,136,1.8214646361872924,2.1280171076079184,1.9440856247555427
abreujo02,2022,1,CHA,AL,157,,601,85,183,40,0,15,75.0,0.0,0.0,62,110.0,2.0,12.0,0.0,4.0,19.0,,284.20000000000005,506.88000000000005,0.9,1B,128,1.5736796960792725,2.0725279420478198,1.7732189944666914
abreujo02,2023,1,HOU,AL,141,141.0,540,62,128,23,1,18,90.0,0.0,1.0,42,130.0,1.0,6.0,0.0,6.0,16.0,,235.4,553.5899999999999,0.9,1B,134,1.0900034929884175,2.3548698726918524,1.5959500448697916
abreuto01,2007,1,LAN,NL,59,,166,19,45,14,1,2,17.0,0.0,0.0,7,21.0,1.0,3.0,0.0,2.0,5.0,,66.0,87.94500000000001,1.1166666666666667,2B,60,-0.5889872611835243,-0.4597545823443481,-0.5372941896478538
abreuto01,2010,1,ARI,NL,81,,193,16,45,11,1,1,13.0,2.0,1.0,4,47.0,0.0,0.0,0.0,4.0,8.0,,56.4,64.93,1.1166666666666667,2B,47,-0.684136678185004,-0.5988703933863612,-0.6500301642655468
abreuto01,2013,1,SFN,NL,53,,138,21,37,12,3,2,14.0,0.0,2.0,6,33.0,1.0,1.0,1.0,1.0,5.0,,59.29999999999999,64.92999999999999,1.1166666666666667,2B,36,-0.6553936251324737,-0.5988703933863613,-0.6327843324340288
accarje01,2007,1,TOR,AL,64,,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4.2,1.0,P,64,-1.2431395030686965,-0.9659572152234872,-1.1322665879306129
aceveal01,2011,1,BOS,AL,55,,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,5.8,1.0,P,55,-1.2431395030686965,-0.9562859009646463,-1.1283980622270764
aceveal01,2012,1,BOS,AL,69,,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,8.100000000000001,1.0,P,69,-1.2431395030686965,-0.9423833867175627,-1.122837056528243
acevedo01,2022,1,OAK,AL,70,,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-0.2999999999999998,1.0,P,70,-1.2431395030686965,-0.9931577865764769,-1.1431468164718086
aceveju01,2000,1,MIL,NL,62,,1,1,0,0,0,0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,,1.3,7.2,1.0,P,62,-1.2302546861830794,-0.9478235009881607,-1.117282212105112
aceveju01,2002,1,DET,AL,65,,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,5.4,1.0,P,65,-1.2431395030686965,-0.9587037295293565,-1.1293651936529605
ackledu01,2011,1,SEA,AL,90,,333,39,91,16,7,6,36.0,6.0,0.0,40,79.0,1.0,0.0,0.0,3.0,3.0,,142.0,218.32,1.0,1B,87,0.1642789567448557,0.3283064154658822,0.2298899402332663
ackledu01,2012,1,SEA,AL,153,,607,84,137,22,2,12,50.0,13.0,3.0,59,124.0,7.0,0.0,1.0,1.0,3.0,,228.69999999999996,403.73,1.0,1B,153,1.0235971290394679,1.4490304009231771,1.1937704377929514
ackledu01,2013,1,SEA,AL,113,,384,40,97,18,2,4,31.0,2.0,3.0,37,72.0,1.0,1.0,4.0,1.0,6.0,,135.7,209.46000000000004,1.0,1B,118,0.10183715183763463,0.27475151275755155,0.1710028962056014
ackledu01,2014,1,SEA,AL,143,,502,64,123,27,4,14,65.0,8.0,4.0,32,90.0,1.0,3.0,3.0,2.0,10.0,,209.7,123.69999999999999,1.0,OF,133,0.835280574557373,-0.24363093151631532,0.4037159721278977
ackledu01,2015,1,SEA,AL,85,,186,22,40,8,1,6,19.0,2.0,2.0,14,38.0,0.0,1.0,3.0,3.0,3.0,,67.19999999999999,80.77,1.02,2B,96,-0.5770935840583394,-0.5031243822238374,-0.5475059033245386
acunaro01,2018,1,ATL,NL,111,,433,78,127,26,4,26,64.0,16.0,5.0,45,123.0,2.0,6.0,0.0,3.0,4.0,,229.80000000000004,88.2,1.0,OF,108,1.0344996664042214,-0.4582132166343454,0.4374145131887947
acunaro01,2019,1,ATL,NL,156,,626,127,175,22,2,41,101.0,37.0,9.0,76,188.0,4.0,9.0,0.0,1.0,8.0,,350.20000000000005,164.3,1.0,OF,156,2.227831937964445,0.0017786678017699849,1.3374106298993749
acunaro01,2021,1,ATL,NL,82,,297,72,84,19,1,24,52.0,17.0,6.0,49,85.0,2.0,9.0,0.0,5.0,0.0,,188.69999999999996,66.6,1.0,OF,81,0.6271412248666361,-0.5887759591286962,0.14077435126850318
acunaro01,2022,1,ATL,NL,119,,467,71,124,24,0,15,50.0,29.0,11.0,53,126.0,4.0,10.0,0.0,3.0,8.0,,209.7,72.6,1.0,OF,92,0.835280574557373,-0.5525085306580432,0.28016493247120655
acunaro01,2023,1,ATL,NL,158,159.0,643,149,217,35,4,41,106.0,73.0,14.0,80,84.0,3.0,9.0,0.0,3.0,15.0,,412.09999999999997,140.3,1.0,OF,156,2.841347449671901,-0.14329104608084195,1.6474920513708038
adamecr01,2016,1,COL,NL,121,,225,25,49,7,3,2,17.0,2.0,3.0,24,47.0,0.0,4.0,3.0,0.0,5.0,,77.1,116.91,1.1166666666666667,2B,69,-0.4789707477755636,-0.2846735714022709,-0.4012518772262465
adamewi01,2018,1,TBA,AL,85,,288,43,80,7,0,10,34.0,6.0,5.0,31,95.0,3.0,1.0,1.0,2.0,6.0,,126.5,164.29,1.125,2B,85,0.010652293877883473,0.0017182220876521132,0.007078665161790929
adamewi01,2019,1,TBA,AL,152,,531,69,135,25,1,20,52.0,4.0,2.0,46,153.0,1.0,3.0,3.0,1.0,9.0,,209.20000000000002,311.765,1.15,SS,152,0.830324875755213,0.8931413910392435,0.8554514818688252
adamewi01,2020,1,TBA,AL,54,,185,29,48,15,1,8,23.0,2.0,1.0,20,74.0,0.0,0.0,0.0,0.0,4.0,,86.2,105.225,1.15,SS,53,-0.3887770295762443,-0.3553043883488676,-0.3753879730852936
adamewi01,2021,2,MIL,NL,99,,365,61,104,26,0,20,58.0,4.0,2.0,47,105.0,1.0,0.0,0.0,1.0,8.0,,190.9,281.405,1.15,SS,136,0.6489462995961424,0.7096282029777393,0.6732190609487811
adamewi01,2022,1,MIL,NL,139,,563,83,134,31,0,31,98.0,8.0,3.0,49,166.0,3.0,1.0,0.0,4.0,11.0,,269.8,302.45,1.15,SS,136,1.430955570577053,0.8368362083385548,1.1933078256816536
adamewi01,2023,1,MIL,NL,149,149.0,553,73,120,29,2,24,80.0,5.0,3.0,71,165.0,1.0,6.0,0.0,6.0,12.0,,243.1,290.145,1.15,SS,147,1.1663212545416874,0.7624577571166572,1.0047758555716753
adamja01,2022,1,TBA,AL,67,,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.3,1.0,P,67,-1.2431395030686965,-0.983486472317636,-1.1392782907682724
adamja01,2023,1,TBA,AL,56,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4.8,1.0,P,56,-1.2431395030686965,-0.9623304723764218,-1.1308158907917867
adamsau02,2021,1,SDN,NL,65,,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,1.0,P,65,-1.2431395030686965,-0.9732107009176177,-1.135167982208265
adamsla01,2017,1,ATL,NL,85,,109,19,30,4,1,5,20.0,10.0,0.0,10,37.0,0.0,1.0,1.0,1.0,3.0,,61.5,22.4,1.0,OF,41,-0.6335885504029679,-0.855946015529173,-0.7225315364534499
adamsma01,2013,1,SLN,NL,108,,296,46,84,14,0,17,51.0,0.0,1.0,23,80.0,0.0,0.0,0.0,0.0,9.0,,147.8,335.7,0.9,1B,74,0.2217650628499164,1.03781820778009,0.5481863208219858
adamsma01,2014,1,SLN,NL,142,,527,55,152,34,5,15,68.0,3.0,2.0,26,114.0,5.0,3.0,0.0,7.0,9.0,,218.60000000000002,602.37,0.9,1B,133,0.9234920132358284,2.649724066158262,1.613984834404802
